change_plants|Pflanzen ändern
mailing_list_help_2|Ich sende dir coole Neuigkeiten und Fakten zu TFE2 und neueste Infos zu meinen neuesten Projekten!\n\nAls kleines Dankeschön bekommst du Geheimcodes für exklusive Skins!
|
pop_by_age|Demographie
citizens_and_children|Es gibt [0] Einwohner von denen [1] Kinder sind.
citizens_by_age_explain|Die Menge an Einwohnern nach Alter sortiert wird unten angezeigt.
one_citizen_age|Ein Einwohner ist [0] Jahre alt.
n_citizens_age|[0] Einwohner sind [1] Jahre alt.
one_citizen_age_oldest|Ein Einwohner ist [0] Jahre alt. Der älteste Einwohner ist [1] Jahre alt.
n_citizens_age_oldest|[0] Einwohner sind [1] Jahre alt. Der älteste Einwohner ist [2] Jahre alt.
one_citizen_age_upper_range|Ein Einwohner ist [0] oder älter.
n_citizens_age_upper_range|[0] Einwohner sind [1] oder älter.
one_citizen_age_range|Ein Einwohner ist zwischen [0] und [1] Jahre alt.
n_citizens_age_range|[0] Einwohner sind zwischen [1] und [2] Jahre alt.
pop_limit|Bevölkerungslimit:
reset_pop_limit|[Tap] um das Bevölkerungslimit zurückzusetzen.
pop_limit_hint|Deine Bevölkerung wird nicht mehr wachsen, wenn du das Limit erreicht hast. Bitte beachte, dass die Framerate erheblich heruntergehen kann, wenn du diesen Wert erhöhst.
|
upgrade_basic_houses_hint|Grundhäuser können nicht zu 100 Zufriedenheit verbessert werden. Stattdessen kannst du alle zu einem neuem Haus hier umbauen.\n\nWähle zunächst das Haus aus, zu welchem sie umgebaut werden sollen:
upgrade_to_x|Verbessere zu [0]
no_basic_houses|Es gibt keine normalen Häuser
confirm|Bestätigen
no_undo|Bitte beachte, dass es nicht rückgängig gemacht werden kann.
upgrade_basic_for|Verbessere [0] von [1] normalen Häusern für:
upgraded_houses|Erfolg! [0] Häuser verbessert.
choose_save_slot|Wählen den Spielstand
load_a_game|Lade einen Spielstand
empty|(leer)
overwrite|(überschreiben)
really_overwrite|Soll Spielstand [0] wirklich überschrieben werden?
slot_n|Spielstand [0]
|
secret_code|Geheimcode
secret_code_use|Du kannst Geheimcodes für coole Skins nutzen.
secret_code_acquire|Abonniere meinen Newsletter und ich sende dir einen Geheimcode sofort zu als kleines Dankeschön. Außerdem informiere ich dich über alle Neuerungen dieses Spieles und meiner zukünftigen Projekte.
sample_code_1|Außerdem kannst du diesen Code als Belohnung für deine Neugierde ausprobieren:
sample_code_2|Du kannst diesen Code als Belohnung für deine Neugierde ausprobieren:
secret_code_activated|Geheimcode aktiviert!
secret_code_1|Du kannst nun die Lasershow der Nachtclubs ändern!
